EEID,Full Name,First Name,Last Name,Email,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,Access
E03247,Caroline Jenkins,Caroline ,Jenkins,CJenkins@scorpius.com,Analyst,Finance,Research & Development,Female,Caucasian,27,5/6/2018,49011,0,United States,Nashville,,Standard
E02074,Nora Brown,Nora ,Brown,NBrown@scorpius.com,Enterprise Architect,IT,Manufacturing,Female,Caucasian,32,2/11/2014,99575,0,United States,Nashville,,Privileged
E01628,Jackson Perry,Jackson ,Perry,JPerry@scorpius.com,Vice President,Marketing,Research & Development,Male,Caucasian,27,10/20/2019,256420,0.3,United States,Nashville,,Privileged
E04285,Riley Padilla,Riley ,Padilla,RPadilla@scorpius.com,Technical Architect,IT,Manufacturing,Female,Latino,35,5/15/2013,78940,0,United States,Nashville,,Privileged
E03749,Kennedy Foster,Kennedy ,Foster,KFoster@scorpius.com,Manager,Marketing,Speciality Products,Female,Caucasian,53,11/23/2013,113135,0.05,United States,Nashville,,Privileged
E03574,John Moore,John ,Moore,JMoore@scorpius.com,Vice President,IT,Speciality Products,Male,Caucasian,52,11/8/2005,199808,0.32,United States,Nashville,,Privileged
E00586,Sadie Washington,Sadie ,Washington,SWashington@scorpius.com,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,5/24/2019,122350,0.12,United States,Nashville,,Standard
E03538,Gabriel Holmes,Gabriel ,Holmes,GHolmes@scorpius.com,Enterprise Architect,IT,Research & Development,Male,Caucasian,40,11/4/2010,92952,0,United States,Nashville,,Privileged
E02185,Wyatt Rojas,Wyatt ,Rojas,WRojas@scorpius.com,Computer Systems Manager,IT,Corporate,Male,Latino,32,3/20/2013,79921,0.05,United States,Nashville,,Privileged
E03830,Eva Coleman,Eva ,Coleman,EColeman@scorpius.com,Director,IT,Research & Development,Female,Black,37,9/20/2009,167199,0.2,United States,Nashville,,Privileged
E03720,Dominic Clark,Dominic ,Clark,DClark@scorpius.com,Quality Engineer,Engineering,Research & Development,Male,Caucasian,52,10/17/2012,71476,0,United States,Nashville,,Standard
E03025,Lucy Alexander,Lucy ,Alexander,LAlexander@scorpius.com,Director,Engineering,Manufacturing,Female,Caucasian,45,10/29/2014,189420,0.2,United States,Nashville,,Privileged
E04917,Everleigh Washington,Everleigh ,Washington,EWashington@scorpius.com,HRIS Analyst,Human Resources,Research & Development,Female,Caucasian,64,10/20/2001,64057,0,United States,Nashville,,Standard
E00415,Leilani Butler,Leilani ,Butler,LButler@scorpius.com,Analyst II,Marketing,Manufacturing,Female,Black,27,9/21/2021,68728,0,United States,Nashville,,Standard
E04207,John Contreras,John ,Contreras,JContreras@scorpius.com,Analyst II,Marketing,Manufacturing,Male,Latino,35,5/15/2011,66889,0,United States,Nashville,,Standard
E02139,Rylee Yu,Rylee ,Yu,RYu@scorpius.com,Director,Accounting,Research & Development,Female,Asian,36,9/29/2015,178700,0.29,United States,Nashville,,Privileged
E01797,Piper Lewis,Piper ,Lewis,PLewis@scorpius.com,Field Engineer,Engineering,Research & Development,Female,Caucasian,33,12/22/2018,83990,0,United States,Nashville,,Standard
E01839,Stella Alexander,Stella ,Alexander,SAlexander@scorpius.com,Automation Engineer,Engineering,Corporate,Female,Caucasian,52,12/10/2005,102043,0,United States,Nashville,,Standard
E01633,Addison Do,Addison ,Do,ADo@scorpius.com,Operations Engineer,Engineering,Manufacturing,Female,Asian,46,5/30/2001,90678,0,United States,Nashville,,Standard
E01848,Zoey Jackson,Zoey ,Jackson,ZJackson@scorpius.com,Business Partner,Human Resources,Manufacturing,Female,Black,46,8/21/2008,59067,0,United States,Nashville,,Standard
E04000,Skylar Carrillo,Skylar ,Carrillo,SCarrillo@scorpius.com,Engineering Manager,Engineering,Corporate,Female,Latino,44,12/18/2008,92753,0.13,United States,Nashville,6/24/2021,Standard
E02112,Christian Sanders,Christian ,Sanders,CSanders@scorpius.com,Vice President,Human Resources,Speciality Products,Male,Black,45,8/7/2013,236946,0.37,United States,Nashville,,Privileged
E03824,Penelope Coleman,Penelope ,Coleman,PColeman@scorpius.com,Analyst,Finance,Corporate,Female,Black,36,8/27/2021,48906,0,United States,Nashville,,Standard
E03906,Piper Richardson,Piper ,Richardson,PRichardson@scorpius.com,Sr. Analyst,Sales,Corporate,Female,Caucasian,38,1/27/2008,80024,0,United States,Nashville,,Standard
E00436,Everly Walker,Everly ,Walker,EWalker@scorpius.com,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,10/23/2009,54415,0,United States,Nashville,1/22/2014,Standard
E04798,Aurora Ali,Aurora ,Ali,AAli@scorpius.com,Manager,Marketing,Research & Development,Female,Asian,30,4/24/2016,120341,0.07,United States,Nashville,,Privileged
E01249,Penelope Guerrero,Penelope ,Guerrero,PGuerrero@scorpius.com,Vice President,IT,Speciality Products,Female,Latino,43,8/4/2009,208415,0.35,United States,Nashville,,Privileged
E03349,Anna Mehta,Anna ,Mehta,AMehta@scorpius.com,Cloud Infrastructure Architect,IT,Speciality Products,Female,Asian,32,1/5/2020,78844,0,United States,Nashville,,Privileged
E02966,William Foster,William ,Foster,WFoster@scorpius.com,Field Engineer,Engineering,Manufacturing,Male,Caucasian,58,5/23/2002,76354,0,United States,Nashville,9/26/2021,Standard
E01499,Jade Rojas,Jade ,Rojas,JRojas@scorpius.com,Director,Finance,Speciality Products,Female,Latino,37,1/28/2019,165927,0.2,United States,Nashville,,Privileged
E00665,David Chu,David ,Chu,DChu@scorpius.com,Controls Engineer,Engineering,Corporate,Male,Asian,55,9/3/1998,86299,0,United States,Nashville,,Standard
E00254,Samuel Morales,Samuel ,Morales,SMorales@scorpius.com,Analyst II,Finance,Corporate,Male,Latino,34,6/27/2015,57008,0,United States,Nashville,,Standard
E02166,John Soto,John ,Soto,JSoto@scorpius.com,Sr. Manger,Finance,Manufacturing,Male,Latino,60,9/23/2015,141899,0.15,United States,Nashville,,Standard
E00935,Joseph Martin,Joseph ,Martin,JMartin@scorpius.com,Analyst II,Marketing,Corporate,Male,Black,41,9/13/2016,64847,0,United States,Nashville,,Standard
E01525,Jose Ross,Jose ,Ross,JRoss@scorpius.com,Engineering Manager,Engineering,Research & Development,Male,Caucasian,53,4/8/1992,116878,0.11,United States,Nashville,,Standard
E00386,Parker James,Parker ,James,PJames@scorpius.com,Quality Engineer,Engineering,Speciality Products,Male,Black,45,2/5/2005,70505,0,United States,Nashville,,Standard
E03383,Lincoln Hall,Lincoln ,Hall,LHall@scorpius.com,Director,Accounting,Speciality Products,Male,Caucasian,26,7/28/2020,180664,0.27,United States,Nashville,,Privileged
E01258,Gabriel Brooks,Gabriel ,Brooks,GBrooks@scorpius.com,Network Engineer,IT,Manufacturing,Male,Caucasian,29,12/10/2018,84596,0,United States,Nashville,,Privileged
E04562,Xavier Zheng,Xavier ,Zheng,XZheng@scorpius.com,Account Representative,Sales,Manufacturing,Male,Asian,31,7/22/2017,55854,0,United States,Nashville,,Standard
E02802,Matthew Chau,Matthew ,Chau,MChau@scorpius.com,Sr. Business Partner,Human Resources,Research & Development,Male,Asian,53,11/16/2002,95998,0,United States,Nashville,,Standard
E01427,Mia Cheng,Mia ,Cheng,MCheng@scorpius.com,Sr. Manger,Sales,Manufacturing,Female,Asian,34,4/22/2015,154941,0.13,United States,Nashville,,Standard
E03890,Nevaeh Jones,Nevaeh ,Jones,NJones@scorpius.com,Vice President,Sales,Manufacturing,Female,Caucasian,31,8/20/2020,219693,0.3,United States,Nashville,,Privileged
E01194,Samantha Adams,Samantha ,Adams,SAdams@scorpius.com,Test Engineer,Engineering,Research & Development,Female,Caucasian,45,4/22/2013,61773,0,United States,Nashville,,Standard
E02875,Madeline Shin,Madeline ,Shin,MShin@scorpius.com,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,1/9/2007,74546,0.09,United States,Nashville,,Privileged
E04959,Noah King,Noah ,King,NKing@scorpius.com,Development Engineer,Engineering,Speciality Products,Male,Black,56,1/27/2015,62575,0,United States,Nashville,,Standard
E01261,Connor Simmons,Connor ,Simmons,CSimmons@scorpius.com,Analyst II,Accounting,Speciality Products,Male,Caucasian,55,4/5/2007,52310,0,United States,Nashville,10/12/2018,Standard
E03612,Grayson Cooper,Grayson ,Cooper,GCooper@scorpius.com,Sr. Manger,Finance,Speciality Products,Male,Black,64,6/29/2013,159571,0.1,United States,Nashville,,Standard
E01388,Ivy Soto,Ivy ,Soto,ISoto@scorpius.com,Field Engineer,Engineering,Research & Development,Female,Latino,50,10/23/1997,91763,0,United States,Nashville,,Standard
E03875,Aurora Simmons,Aurora ,Simmons,ASimmons@scorpius.com,Development Engineer,Engineering,Corporate,Female,Caucasian,51,12/22/1995,96475,0,United States,Nashville,,Standard
E04413,Andrew Thomas,Andrew ,Thomas,AThomas@scorpius.com,Controls Engineer,Engineering,Manufacturing,Male,Caucasian,36,12/2/2016,113781,0,United States,Nashville,,Standard
E00691,Ezekiel Desai,Ezekiel ,Desai,EDesai@scorpius.com,Director,Finance,Research & Development,Male,Asian,42,1/15/2003,166599,0.26,United States,Nashville,,Privileged
E04735,Nova Coleman,Nova ,Coleman,NColeman@scorpius.com,System Administrator ,IT,Manufacturing,Female,Caucasian,44,12/13/2006,74738,0,United States,Nashville,,Privileged
E02850,Evelyn Dinh,Evelyn ,Dinh,EDinh@scorpius.com,Director,Sales,Research & Development,Female,Asian,41,8/10/2018,171173,0.21,United States,Nashville,,Privileged
E03583,Brooks Marquez,Brooks ,Marquez,BMarquez@scorpius.com,Vice President,Sales,Corporate,Male,Latino,61,9/24/2019,201464,0.37,United States,Nashville,,Privileged
E02017,Connor Joseph,Connor ,Joseph,CJoseph@scorpius.com,Director,Human Resources,Corporate,Male,Caucasian,50,7/22/1998,174895,0.15,United States,Nashville,,Privileged
E01642,Mia Lam,Mia ,Lam,MLam@scorpius.com,Sr. Manger,IT,Manufacturing,Female,Asian,49,4/18/2006,134486,0.14,United States,Nashville,,Privileged
E04131,Cora Rivera,Cora ,Rivera,CRivera@scorpius.com,Sr. Analyst,Marketing,Corporate,Female,Latino,42,1/2/2021,94430,0,United States,Nashville,,Standard
E02331,Sophia Huynh,Sophia ,Huynh,SHuynh@scorpius.com,Enterprise Architect,IT,Manufacturing,Female,Asian,55,8/9/2005,92771,0,United States,Nashville,,Privileged
E00417,Athena Carrillo,Athena ,Carrillo,ACarrillo@scorpius.com,Analyst II,Finance,Speciality Products,Female,Latino,39,4/6/2006,71531,0,United States,Nashville,,Standard
E04267,Greyson Sanders,Greyson ,Sanders,GSanders@scorpius.com,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,3/6/2019,90304,0,United States,Nashville,,Privileged
E03061,Vivian Lewis,Vivian ,Lewis,VLewis@scorpius.com,Manager,Marketing,Manufacturing,Female,Caucasian,65,9/7/2011,104903,0.1,United States,Nashville,,Privileged
E04265,Natalia Diaz,Natalia ,Diaz,NDiaz@scorpius.com,Operations Engineer,Engineering,Corporate,Female,Latino,62,10/12/2006,79785,0,United States,Nashville,,Standard
E03042,Ava Nelson,Ava ,Nelson,ANelson@scorpius.com,Systems Analyst,IT,Manufacturing,Female,Caucasian,63,4/1/1992,53809,0,United States,Nashville,,Privileged
E03131,Ezekiel Reed,Ezekiel ,Reed,EReed@scorpius.com,Sr. Manger,IT,Manufacturing,Male,Caucasian,37,2/25/2014,128984,0.12,United States,Nashville,5/1/2021,Privileged
E00128,Everleigh Espinoza,Everleigh ,Espinoza,EEspinoza@scorpius.com,Director,Human Resources,Manufacturing,Female,Latino,54,1/22/2018,176294,0.28,United States,Nashville,,Privileged
E00306,Mateo Williams,Mateo ,Williams,MWilliams@scorpius.com,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,1/22/2011,97339,0,United States,Nashville,,Privileged
E00170,Hannah Nelson,Hannah ,Nelson,HNelson@scorpius.com,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,9/7/2019,70992,0,United States,Nashville,,Standard
E01425,Anthony Rogers,Anthony ,Rogers,ARogers@scorpius.com,Vice President,Engineering,Corporate,Male,Caucasian,33,6/18/2015,205314,0.3,United States,Nashville,,Privileged
E03567,Silas Chavez,Silas ,Chavez,SChavez@scorpius.com,Technical Architect,IT,Research & Development,Male,Latino,51,4/15/2008,86431,0,United States,Nashville,,Privileged
E00957,Genesis Perry,Genesis ,Perry,GPerry@scorpius.com,Sr. Manger,Sales,Corporate,Female,Caucasian,46,7/18/2013,149712,0.14,United States,Nashville,,Standard
E04458,Alexander Bryant,Alexander ,Bryant,ABryant@scorpius.com,Field Engineer,Engineering,Speciality Products,Male,Caucasian,30,10/2/2021,88758,0,United States,Nashville,,Standard
E00521,Lily Carter,Lily ,Carter,LCarter@scorpius.com,Network Architect,IT,Research & Development,Female,Caucasian,54,5/18/1998,68268,0,United States,Nashville,,Privileged
E01533,Avery Bailey,Avery ,Bailey,ABailey@scorpius.com,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,49,5/15/1996,86658,0,United States,Nashville,,Standard
E02855,Piper Cheng,Piper ,Cheng,PCheng@scorpius.com,Enterprise Architect,IT,Manufacturing,Female,Asian,62,3/15/2009,82839,0,United States,Nashville,,Privileged
E00816,Skylar Watson,Skylar ,Watson,SWatson@scorpius.com,Network Architect,IT,Speciality Products,Female,Caucasian,28,10/8/2021,64475,0,United States,Nashville,,Privileged
E04888,Elijah Henry,Elijah ,Henry,EHenry@scorpius.com,Manager,IT,Corporate,Male,Caucasian,32,1/3/2014,127148,0.1,United States,Nashville,,Privileged
E03907,Camila Watson,Camila ,Watson,CWatson@scorpius.com,Vice President,Finance,Speciality Products,Female,Caucasian,32,1/2/2018,190253,0.33,United States,Nashville,,Privileged
E02166,Lucas Thomas,Lucas ,Thomas,LThomas@scorpius.com,Manager,Accounting,Research & Development,Male,Caucasian,55,4/28/2000,115798,0.05,United States,Nashville,,Privileged
E00431,Skylar Doan,Skylar ,Doan,SDoan@scorpius.com,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,58,8/21/1994,93102,0,United States,Nashville,12/13/2013,Standard
E01501,Hudson Liu,Hudson ,Liu,HLiu@scorpius.com,Engineering Manager,Engineering,Speciality Products,Male,Asian,34,11/16/2017,110054,0.15,United States,Nashville,,Standard
E01141,Gianna Williams,Gianna ,Williams,GWilliams@scorpius.com,Quality Engineer,Engineering,Research & Development,Female,Black,27,1/28/2021,95786,0,United States,Nashville,,Standard
E02942,Daniel Richardson,Daniel ,Richardson,DRichardson@scorpius.com,Director,Engineering,Speciality Products,Male,Caucasian,30,5/20/2018,184368,0.29,United States,Nashville,,Privileged
E04130,Elias Figueroa,Elias ,Figueroa,EFigueroa@scorpius.com,Sr. Manger,Finance,Corporate,Male,Latino,45,12/24/2021,144754,0.15,United States,Nashville,,Standard
E02848,Emma Brooks,Emma ,Brooks,EBrooks@scorpius.com,Sr. Account Representative,Sales,Research & Development,Female,Caucasian,30,12/18/2016,89458,0,United States,Nashville,,Standard
E00085,Isla Wong,Isla ,Wong,IWong@scorpius.com,Vice President,Accounting,Corporate,Female,Asian,56,3/16/2014,190815,0.4,United States,Nashville,,Privileged
E03956,Everly Walker,Everly ,Walker,EWalker@scorpius.com,Sr. Manger,Sales,Research & Development,Female,Caucasian,62,8/2/1999,137995,0.14,United States,Nashville,,Standard
E03506,Jaxson Mai,Jaxson ,Mai,JMai@scorpius.com,Vice President,Human Resources,Research & Development,Male,Asian,48,3/8/2014,197367,0.39,United States,Nashville,,Privileged
E00568,Ava Garza,Ava ,Garza,AGarza@scorpius.com,Director,Accounting,Manufacturing,Female,Latino,27,6/25/2018,174097,0.21,United States,Nashville,,Privileged
E00535,Nathan Mendez,Nathan ,Mendez,NMendez@scorpius.com,Manager,IT,Speciality Products,Male,Latino,53,10/31/2006,120128,0.1,United States,Nashville,,Privileged
E04630,Maria Griffin,Maria ,Griffin,MGriffin@scorpius.com,Manager,Marketing,Manufacturing,Female,Caucasian,59,4/25/2007,129708,0.05,United States,Nashville,,Privileged
E00874,Alexander Choi,Alexander ,Choi,AChoi@scorpius.com,Manager,Marketing,Research & Development,Male,Asian,55,9/18/1994,102270,0.1,United States,Nashville,,Privileged
E00941,Sophie Ali,Sophie ,Ali,SAli@scorpius.com,Analyst,Finance,Manufacturing,Female,Asian,55,3/28/2002,50475,0,United States,Nashville,,Standard
E03446,Julian Ross,Julian ,Ross,JRoss@scorpius.com,Manager,Marketing,Research & Development,Male,Caucasian,51,7/2/2020,100099,0.08,United States,Nashville,,Privileged
E01361,Emma Hill,Emma ,Hill,EHill@scorpius.com,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,12/27/2016,41673,0,United States,Nashville,,Privileged
E03719,Jack Brown,Jack ,Brown,JBrown@scorpius.com,Analyst,Marketing,Corporate,Male,Caucasian,55,12/7/2004,40752,0,United States,Nashville,,Standard
E02489,Ethan Clark,Ethan ,Clark,EClark@scorpius.com,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,8/4/2017,92610,0,United States,Nashville,,Standard
E03189,Asher Jackson,Asher ,Jackson,AJackson@scorpius.com,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,3/25/2003,123405,0.13,United States,Nashville,,Standard
E02791,Aubrey Romero,Aubrey ,Romero,ARomero@scorpius.com,Director,Sales,Corporate,Female,Latino,49,4/2/1998,160832,0.3,United States,Nashville,,Privileged
E02333,Jaxson Wright,Jaxson ,Wright,JWright@scorpius.com,Service Desk Analyst,IT,Manufacturing,Male,Black,54,12/28/2010,64417,0,United States,Nashville,,Privileged
E00233,Brooklyn Reyes,Brooklyn ,Reyes,BReyes@scorpius.com,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,12/19/2019,91954,0,United States,Nashville,,Privileged
E02639,Hadley Parker,Hadley ,Parker,HParker@scorpius.com,Vice President,Marketing,Corporate,Female,Black,30,9/21/2016,221217,0.32,United States,Nashville,9/25/2017,Privileged
E00697,Jonathan Chavez,Jonathan ,Chavez,JChavez@scorpius.com,System Administrator ,IT,Manufacturing,Male,Latino,29,5/11/2017,87536,0,United States,Nashville,,Privileged
E02183,Sarah Ayala,Sarah ,Ayala,SAyala@scorpius.com,Analyst,Sales,Corporate,Female,Latino,47,6/9/2015,41429,0,United States,Nashville,,Standard
E00715,Elijah Kang,Elijah ,Kang,EKang@scorpius.com,Vice President,Engineering,Manufacturing,Male,Asian,35,10/10/2011,245482,0.39,United States,Nashville,,Privileged
E04288,Ella White,Ella ,White,EWhite@scorpius.com,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,1/20/2020,71359,0,United States,Nashville,,Standard
E02421,Jordan Truong,Jordan ,Truong,JTruong@scorpius.com,Director,Engineering,Speciality Products,Male,Asian,45,8/28/2014,183161,0.22,United States,Nashville,,Privileged
E00523,Daniel Jordan,Daniel ,Jordan,DJordan@scorpius.com,Network Administrator,IT,Corporate,Male,Caucasian,58,7/26/1993,69260,0,United States,Nashville,,Privileged
E03615,Daniel Dixon,Daniel ,Dixon,DDixon@scorpius.com,Operations Engineer,Engineering,Speciality Products,Male,Caucasian,51,10/9/1999,95639,0,United States,Nashville,,Standard
E02121,Levi Brown,Levi ,Brown,LBrown@scorpius.com,Sr. Analyst,Sales,Corporate,Male,Black,36,12/26/2021,75119,0,United States,Nashville,,Standard
E01486,Mason Cho,Mason ,Cho,MCho@scorpius.com,Vice President,Accounting,Research & Development,Male,Asian,59,5/18/2011,192213,0.4,United States,Nashville,,Privileged
E03027,Elijah Watson,Elijah ,Watson,EWatson@scorpius.com,Sr. Manger,Sales,Manufacturing,Male,Caucasian,29,3/16/2017,151413,0.15,United States,Nashville,,Standard
E03689,Wesley Gray,Wesley ,Gray,WGray@scorpius.com,Sr. Analyst,Accounting,Speciality Products,Male,Caucasian,62,4/22/2003,76906,0,United States,Nashville,,Standard
E01286,Mateo Mendez,Mateo ,Mendez,MMendez@scorpius.com,Development Engineer,Engineering,Research & Development,Male,Latino,47,7/14/1998,99091,0,United States,Nashville,,Standard
E00626,Luna Simmons,Luna ,Simmons,LSimmons@scorpius.com,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,9/4/2020,95045,0,United States,Nashville,,Standard
E04342,Samantha Barnes,Samantha ,Barnes,SBarnes@scorpius.com,Vice President,Marketing,Speciality Products,Female,Caucasian,29,1/5/2017,190401,0.37,United States,Nashville,,Privileged
E01291,Thomas Aguilar,Thomas ,Aguilar,TAguilar@scorpius.com,Sr. Account Representative,Sales,Speciality Products,Male,Latino,45,2/10/2021,79882,0,United States,Nashville,,Standard
E00917,Skylar Bell,Skylar ,Bell,SBell@scorpius.com,Vice President,Engineering,Manufacturing,Female,Caucasian,30,3/6/2018,255431,0.36,United States,Nashville,,Privileged
E03864,Ella Hunter,Ella ,Hunter,EHunter@scorpius.com,Analyst,Finance,Manufacturing,Female,Caucasian,51,1/18/2017,53799,0,United States,Nashville,,Standard
E00488,Emery Hunter,Emery ,Hunter,EHunter@scorpius.com,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,7/3/2021,82739,0,United States,Nashville,,Standard
E02227,Sofia Parker,Sofia ,Parker,SParker@scorpius.com,Cloud Infrastructure Architect,IT,Manufacturing,Female,Caucasian,36,5/30/2014,99080,0,United States,Nashville,,Privileged
E01970,Vivian Barnes,Vivian ,Barnes,VBarnes@scorpius.com,Director,Human Resources,Research & Development,Female,Caucasian,51,3/28/2021,180687,0.19,United States,Nashville,,Privileged
E02813,Kai Chow,Kai ,Chow,KChow@scorpius.com,Engineering Manager,Engineering,Corporate,Male,Asian,45,4/12/2001,95743,0.15,United States,Nashville,1/15/2010,Standard
E02031,Melody Cooper,Melody ,Cooper,MCooper@scorpius.com,Development Engineer,Engineering,Research & Development,Female,Caucasian,44,9/4/2009,89695,0,United States,Nashville,,Standard
E04871,Liam Grant,Liam ,Grant,LGrant@scorpius.com,Sr. Business Partner,Human Resources,Research & Development,Male,Caucasian,30,3/15/2015,93734,0,United States,Nashville,,Standard
E01070,Leonardo Martin,Leonardo ,Martin,LMartin@scorpius.com,Manager,Finance,Speciality Products,Male,Black,51,2/16/1995,125375,0.09,United States,Nashville,,Privileged
E04359,Greyson Lam,Greyson ,Lam,GLam@scorpius.com,Vice President,Accounting,Manufacturing,Male,Asian,25,2/8/2021,198243,0.31,United States,Nashville,,Privileged
E03268,Emilia Rivera,Emilia ,Rivera,ERivera@scorpius.com,Test Engineer,Engineering,Research & Development,Female,Latino,42,11/23/2017,96023,0,United States,Nashville,,Standard
E04035,Penelope Johnson,Penelope ,Johnson,PJohnson@scorpius.com,Sr. Analyst,Marketing,Research & Development,Female,Caucasian,34,6/25/2012,83066,0,United States,Nashville,6/5/2013,Standard
E01221,Eva Figueroa,Eva ,Figueroa,EFigueroa@scorpius.com,Analyst II,Sales,Research & Development,Female,Latino,48,5/14/2014,61216,0,United States,Nashville,,Standard
E00276,Ezekiel Jordan,Ezekiel ,Jordan,EJordan@scorpius.com,Sr. Manger,Accounting,Corporate,Male,Caucasian,33,2/10/2013,144231,0.14,United States,Nashville,7/17/2020,Standard
E01263,Adam Espinoza,Adam ,Espinoza,AEspinoza@scorpius.com,Test Engineer,Engineering,Manufacturing,Male,Latino,36,4/9/2009,60055,0,United States,Nashville,,Standard
E03935,Cora Jiang,Cora ,Jiang,CJiang@scorpius.com,Vice President,IT,Corporate,Female,Asian,53,4/30/2008,182202,0.3,United States,Nashville,,Privileged
E00742,Cooper Mitchell,Cooper ,Mitchell,CMitchell@scorpius.com,Manager,Sales,Speciality Products,Male,Caucasian,43,1/31/2006,117518,0.07,United States,Nashville,,Privileged
E01860,Jack Edwards,Jack ,Edwards,JEdwards@scorpius.com,Manager,Marketing,Manufacturing,Male,Caucasian,38,4/6/2008,126856,0.06,United States,Nashville,,Privileged
